epoch,correlation_coefficient,fraction_of_explained_variance,loss,root_mean_squared_error
0,0.062335018,-1.1093206,0.8616969980258726,0.7726526
1,0.23104298,-0.81481975,0.7982506985817494,0.7185609
2,0.30707586,-0.4693577,0.7359250162293215,0.6646093
3,0.34776348,-0.14555247,0.6742991003848496,0.60967714
4,0.37997198,0.031735707,0.6338017153886217,0.5744576
5,0.40564975,0.09429083,0.6122922634377199,0.5567949
6,0.42511296,0.14945692,0.5999158288624122,0.54728585
7,0.44018742,0.17067151,0.59132251885234,0.54110855
8,0.45222917,0.18834291,0.5847213203364473,0.53664565
9,0.46179006,0.20021117,0.5792312788791588,0.5330671
10,0.4700454,0.20970587,0.5744717156285204,0.53005683
11,0.47719693,0.21796311,0.5702741115498228,0.52743334
12,0.48330382,0.22473602,0.5665647583324559,0.5250507
13,0.48881936,0.23122606,0.5631924973967489,0.52299166
14,0.49393722,0.23724055,0.5601588475421156,0.5210638
15,0.4980364,0.24190064,0.5574584668920853,0.51942235
16,0.5021956,0.24590674,0.5548671478825727,0.5177702
17,0.5060807,0.25081894,0.552478953866032,0.5162449
18,0.50958955,0.25508314,0.5502652272758952,0.51484275
19,0.5130369,0.25894067,0.5481784574143868,0.51349425
20,0.51642716,0.26294538,0.5461357095960427,0.51209235
21,0.51979,0.26662695,0.5441836976672675,0.5107861
22,0.5228779,0.26980212,0.5423916438861547,0.5095632
23,0.525909,0.27341217,0.5405778286376604,0.5082688
24,0.5291798,0.27731562,0.5387754447920189,0.5070164
25,0.53196496,0.28052413,0.5371310688625801,0.5058548
26,0.5345819,0.28338838,0.5355508685573127,0.50473034
27,0.53707165,0.2864046,0.5340752417272101,0.50369674
28,0.53933597,0.28879315,0.5326907114396974,0.50272316
29,0.54161865,0.29140282,0.5313522026799465,0.5017607
30,0.54369986,0.29380214,0.5300852198874743,0.50087845
31,0.5460189,0.29669932,0.528784842211373,0.49989992
32,0.5479537,0.2985955,0.527659519998029,0.49905643
33,0.5499775,0.30108002,0.5264776855691268,0.4981606
34,0.55166185,0.30297104,0.5254673309484068,0.4974875
35,0.5534126,0.30508345,0.5244119433211345,0.49665427
36,0.5553949,0.3075852,0.5233901808528053,0.495907
37,0.5565959,0.3082164,0.5225574279946137,0.4953158
38,0.5582918,0.31072232,0.5216314803525195,0.4945807
39,0.5596999,0.31253237,0.5207573856646114,0.4939706
40,0.5610139,0.31401104,0.5199669150490752,0.49338314
41,0.5624382,0.31562835,0.5191884673689625,0.49275622
42,0.5636875,0.31703728,0.5184402021071236,0.492219
43,0.564973,0.31885546,0.5176646178987037,0.4916368
44,0.5660107,0.31987986,0.5171001357099319,0.4911669
45,0.56697154,0.32096064,0.5164689123690153,0.49072605
46,0.5680078,0.3222088,0.515873641525012,0.4902872
47,0.5692236,0.32370624,0.5152795695457137,0.4897996
48,0.570227,0.32489216,0.5146331445954873,0.4893115
49,0.5711444,0.3259585,0.5141072900267908,0.48893827
